Job_Titles,Company_Names,Salary,Job_Location,Job_Link,Joblist_Date
Senior CMI Executive - Predictive Analysis,Unilever,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-researcher-smb-at-forbes-advisor-3715492471?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=VGSA8WSC3FdyFF%2F466eaEg%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card,4 weeks ago
Data Researcher - SMB,Forbes Advisor,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/analytics-manager-at-meesho-3690657560?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=%2ByaqfBYuSVANdF6ojQvjUg%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card,3 weeks ago
Analytics Manager,Meesho,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-%E2%80%93-supply-chain-jr22018030-at-dubai-jobs-gulf-jobs-jobs-in-dubai-qatar-kuwait-boyen-haddin-the-giant-hr-consultant-3702055343?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=7f1t93snj4%2FSqwmGVDyzCw%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card,3 days ago
Data Analyst – Supply Chain- JR22018030,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",None,Pune/Pimpri-Chinchwad Area,https://in.linkedin.com/jobs/view/director-analytics-at-blucognition-3755406218?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=Ol2qOvoAvlMBQD%2Bh5K7mmg%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card,1 week ago
Director - Analytics,bluCognition,None,India,https://in.linkedin.com/jobs/view/analyst-international-at-disney%2B-hotstar-3736608859?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=T3j29vPMZBeDoA7nXXy6mQ%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card,1 month ago
Analyst (International ),Disney+ Hotstar,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-manager-analytics-at-taggd-3754762703?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=v3Q0Qna%2BEDjAdbLqlp1OMA%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card,3 weeks ago
Senior Manager Analytics,Taggd,None,"Worli, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-dubai-jobs-gulf-jobs-jobs-in-dubai-qatar-kuwait-boyen-haddin-the-giant-hr-consultant-3732898673?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=G0qm4M%2BRETQtRVvZHFAtKA%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card,2 weeks ago
Data Analyst,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",None,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/junior-data-analyst-at-ovidtech-technologies-3753061531?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=CtCl84PZke83px%2F57rFDRA%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card,4 weeks ago
Junior Data Analyst,Ovidtech Technologies,None,India,https://in.linkedin.com/jobs/view/marketing-analytics-at-exl-3746380400?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=s6eVs3i5JVgFLFeO3JMtJQ%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card,1 month ago
Marketing Analytics,EXL,None,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/business-intelligence-analyst-at-ge-appliances-a-haier-company-3730407958?refId=FkdzED6ak7b5WOlnbRXbUw%3D%3D&trackingId=U3iu3n0kCyabyOZX%2F4RM5Q%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card,2 months ago
